event_id,date,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active
9428323,2016-03-26T17:00:00-0400,A Decade of Soul,B.B. King Blues Club & Grill,69.08,57,2,12,New York,NY,NoResults,NoResults,NoResults,NoResults,13,,,,,,,
9428325,2016-03-27T17:00:00-0400,A Decade of Soul,B.B. King Blues Club & Grill,69.05,57,2,12,New York,NY,NoResults,NoResults,NoResults,NoResults,14,,,,,,,
9503246,2016-03-22T20:00:00-0700,A Great Big World,Great American Music Hall,36.72,54,3,14,San Francisco,CA,Eventbrite,$21.00 ,0,5951849,9,435,142,0,0.581465956,0.559848,0.763443,5
9528108,2016-10-20T19:00:00-0500,A Hard Nights Day - A Tribute to the Beatles,Dallas Arboretum and Botanical Garden,60.2,46.57,1,4,Dallas,TX,NoResults,NoResults,NoResults,NoResults,221,,,,,,,
9512352,2016-04-02T21:30:00-0400,A Mighty Spectrum - A Tribute to Bruce Springsteen,Hill Country,12.33,199,3,18,New York,NY,NoResults,NoResults,NoResults,NoResults,20,,,,,,,
9500102,2016-03-26T20:00:00-0700,A Static Lullaby,Social Hall SF,61.67,53,3,16,San Francisco,CA,Songkick Tickets,$22.75 ,0,225641,13,43,30,14,0.427761413,0.526632,0.534179,15
9534091,2016-05-09T20:00:00-0400,A Tribute to Selena,B.B. King Blues Club & Grill,95.6,78.9,2,8,New York,NY,NoResults,NoResults,NoResults,NoResults,57,,,,,,,
9365796,2016-05-29T19:30:00-0700,Aaron David Miller,Walt Disney Concert Hall,130.06,161,2,8,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,77,,,,,,,
9463284,2016-03-23T18:00:00-0500,Abbath,Emos,72.43,59.28,2,10,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,8530404,10,,,,,,,
9462330,2016-03-29T19:30:00-0700,Abbath,Regency Ballroom,82.72,70.68,5,23,San Francisco,CA,Songkick Tickets,$37.00 ,0,74438,16,2123,593,86,0.378966181,0.64203,0.569298,18
9528308,2016-03-17T22:00:00-0400,Above and Beyond,RC Cola Plant,79.18,124.99,19,50,Miami,FL,Wantickets,$35.00 ,0,81224,4,7556,299,2,0.376463211,0.729971,0.671026,16
9458550,2016-05-17T20:00:00-0400,Above and Beyond Acoustic,Wang Theatre at Boston,10.42,500,228,738,Boston,MA,NoResults,NoResults,NoResults,NoResults,65,,,,,,,
9458546,2016-05-11T19:00:00-0500,Above and Beyond Acoustic,Chicago Theatre,46.16,612,299,751,Chicago,IL,Ticketmaster,$45.00 ,0,81224,59,7556,299,2,0.376463211,0.729971,0.671026,16
9470236,2016-05-12T18:30:00-0500,Above and Beyond Acoustic,Chicago Theatre,55.6,1999.9,176,552,Chicago,IL,Ticketmaster,$45.00 ,0,81224,60,7556,299,2,0.376463211,0.729971,0.671026,16
9458551,2016-05-20T19:30:00-0400,Above and Beyond Acoustic,Beacon Theatre,77.9,706.82,212,492,New York,NY,Ticketmaster,$64.00 ,0,81224,68,7556,299,2,0.376463211,0.729971,0.671026,16
9458552,2016-05-21T19:30:00-0400,Above and Beyond Acoustic,Beacon Theatre,73.3,10000,240,536,New York,NY,Ticketmaster,$64.00 ,0,81224,69,7556,299,2,0.376463211,0.729971,0.671026,16
9470124,2016-05-22T19:30:00-0400,Above and Beyond Acoustic,Beacon Theatre,91.57,834,106,282,New York,NY,Ticketmaster,$64.00 ,0,81224,70,7556,299,2,0.376463211,0.729971,0.671026,16
9478697,2016-04-04T19:30:00-0400,AC/DC,Madison Square Garden,152.5,22256.35,451,1057,New York,NY,Ticketmaster,$99.00 ,0,276130,22,17265,3007,144,0.296664362,0.860495,0.765353,43
9478709,2016-04-01T20:00:00-0400,AC/DC,Wells Fargo Center Philadelphia,178.62,1666.67,216,647,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,276130,19,,,,,,,
9511118,2016-04-05T20:00:00-0400,Ace Frehley,Variety Playhouse,63.6,74.1,11,58,Atlanta,GA,Ticketmaster,$37.50 ,0,307655,23,1352,345,12,0.364550169,0.6406,0.546269,52
9511119,2016-04-11T19:30:00-0400,Ace Frehley,B.B. King Blues Club & Grill,67.4,85.5,10,58,New York,NY,Ticketmaster,$39.50 ,0,307655,29,1351,345,12,0.364550169,0.6406,0.546269,52
9511120,2016-04-12T19:30:00-0400,Ace Frehley,B.B. King Blues Club & Grill,52.45,85.5,7,36,New York,NY,Ticketmaster,$39.50 ,0,307655,30,1351,345,12,0.364550169,0.6406,0.546269,52
9501379,2016-03-23T20:00:00-0500,Adam Lambert,Vic Theatre,58.35,195,26,92,Chicago,IL,NoVendorClass,NoPriceClass,NoSoldOutClass,2436746,10,,,,,,,
9501534,2016-03-30T20:00:00-0600,Adam Lambert,Paramount Theatre Denver,50.09,980,40,145,Denver,CO,NoVendorClass,NoPriceClass,NoSoldOutClass,2436746,17,,,,,,,
9501399,2016-04-02T20:00:00-0700,Adam Lambert,Orpheum Theatre Los Angeles,17.78,332,143,342,Los Angeles,CA,Ticketmaster,$35.00 ,0,2436746,20,4589,1451,22,0.501494927,0.685498,0.816103,7
9508123,2016-04-03T20:00:00-0700,Adam Lambert,Orpheum Theatre Los Angeles,46.1,258.75,122,340,Los Angeles,CA,Ticketmaster,$35.00 ,0,2436746,21,4589,1451,22,0.501494927,0.685498,0.816103,7
9478461,2016-10-28T19:30:00-0400,Adele,Philips Arena,378.92,5000,272,694,Atlanta,GA,Ticketmaster,$39.50 ,0,537914,229,20775,6557,131,0.390586661,0.839977,0.935337,10
9478462,2016-10-29T19:30:00-0400,Adele,Philips Arena,462.7,3500,198,498,Atlanta,GA,Ticketmaster,$39.50 ,0,537914,230,20775,6557,131,0.390586661,0.839977,0.935337,10
9478465,2016-11-04T19:30:00-0500,Adele,Frank Erwin Events Center,12513.25,10600,1,2,Austin,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,236,,,,,,,
9478431,2016-09-14T19:30:00-0400,Adele,TD Garden,209,10450,270,722,Boston,MA,Ticketmaster,$35.00 ,0,537914,185,20775,6557,131,0.390586661,0.839977,0.935337,10
9478432,2016-09-15T19:30:00-0400,Adele,TD Garden,321.1,10450,211,504,Boston,MA,Ticketmaster,$35.00 ,0,537914,186,20775,6557,131,0.390586661,0.839977,0.935337,10
9478397,2016-07-10T19:30:00-0500,Adele,United Center,356.5,711711,269,697,Chicago,IL,Ticketmaster,$39.95 ,0,537914,119,20775,6557,131,0.390586661,0.839977,0.935337,10
9478398,2016-07-11T19:30:00-0500,Adele,United Center,327,9682,442,1401,Chicago,IL,Ticketmaster,$39.95 ,0,537914,120,20775,6557,131,0.390586661,0.839977,0.935337,10
9478399,2016-07-13T19:30:00-0500,Adele,United Center,327,5000,465,1313,Chicago,IL,Ticketmaster,$39.95 ,0,537914,122,20775,6557,131,0.390586661,0.839977,0.935337,10
9478463,2016-11-01T19:30:00-0500,Adele,American Airlines Center,345.02,10000,432,1183,Dallas,TX,Ticketmaster,$39.95 ,0,537914,233,20776,6557,131,0.390586661,0.839977,0.935337,10
9478464,2016-11-02T19:30:00-0500,Adele,American Airlines Center,346.27,10000,437,1281,Dallas,TX,Ticketmaster,$39.95 ,0,537914,234,20776,6557,131,0.390586661,0.839977,0.935337,10
9478400,2016-07-16T19:30:00-0600,Adele,Pepsi Center,435.95,4999,205,540,Denver,CO,Altitude tickets,NoPriceClass,0,537914,125,,,,,,,
9478401,2016-07-17T19:30:00-0600,Adele,Pepsi Center,347.39,9999,244,685,Denver,CO,Altitude tickets,NoPriceClass,0,537914,126,,,,,,,
9478468,2016-11-08T20:00:00-0500,Adele,Toyota Center,388.75,3462.77,125,390,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,240,,,,,,,
9478469,2016-11-09T20:00:00-0500,Adele,Toyota Center,428.87,9900,120,342,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,241,,,,,,,
9478411,2016-08-05T19:30:00-0700,Adele,STAPLES Center,226.7,6000,281,801,Los Angeles,CA,AXS,$39.95 ,1,537914,145,20775,6557,131,0.390586661,0.839977,0.935337,10
9478413,2016-08-06T19:30:00-0700,Adele,STAPLES Center,297.5,5750,176,501,Los Angeles,CA,AXS,$39.95 ,1,537914,146,20775,6557,131,0.390586661,0.839977,0.935337,10
9478414,2016-08-09T19:30:00-0700,Adele,STAPLES Center,262.1,5880,248,708,Los Angeles,CA,AXS,$39.95 ,1,537914,149,20775,6557,131,0.390586661,0.839977,0.935337,10
9478415,2016-08-10T19:30:00-0700,Adele,STAPLES Center,262.1,5000,264,771,Los Angeles,CA,AXS,$39.95 ,1,537914,150,20775,6557,131,0.390586661,0.839977,0.935337,10
9478416,2016-08-12T19:30:00-0700,Adele,STAPLES Center,244.4,5000,323,861,Los Angeles,CA,AXS,$39.95 ,1,537914,152,20775,6557,131,0.390586661,0.839977,0.935337,10
9478417,2016-08-13T19:30:00-0700,Adele,STAPLES Center,296.32,8000,212,578,Los Angeles,CA,AXS,$39.95 ,1,537914,153,20775,6557,131,0.390586661,0.839977,0.935337,10
9478459,2016-10-25T19:30:00-0400,Adele,American Airlines Arena,256.2,5000,307,707,Miami,FL,Ticketmaster,$36.95 ,0,537914,226,20776,6557,131,0.390586661,0.839977,0.935337,10
9478460,2016-10-26T19:30:00-0400,Adele,American Airlines Arena,220.8,9900,321,707,Miami,FL,Ticketmaster,$36.95 ,0,537914,227,20776,6557,131,0.390586661,0.839977,0.935337,10
9478457,2016-10-15T19:30:00-0500,Adele,Bridgestone Arena,477.25,5000,169,493,Nashville,TN,Ticketmaster,$35.35 ,0,537914,216,20776,6558,131,0.390586661,0.839977,0.935337,10
9478458,2016-10-16T19:30:00-0500,Adele,Bridgestone Arena,435.95,5900,213,614,Nashville,TN,Ticketmaster,$35.35 ,0,537914,217,20776,6558,131,0.390586661,0.839977,0.935337,10
9478435,2016-09-19T20:00:00-0400,Adele,Madison Square Garden,356.5,9500,450,1204,New York,NY,Ticketmaster,$39.95 ,0,537914,190,20775,6557,131,0.390586661,0.839977,0.935337,10
9478436,2016-09-20T20:00:00-0400,Adele,Madison Square Garden,374.2,9900,496,1331,New York,NY,Ticketmaster,$39.95 ,0,537914,191,20775,6557,131,0.390586661,0.839977,0.935337,10
9478437,2016-09-22T20:00:00-0400,Adele,Madison Square Garden,391.89,15750,479,1310,New York,NY,Ticketmaster,$39.95 ,0,537914,193,20775,6557,131,0.390586661,0.839977,0.935337,10
9478438,2016-09-23T20:00:00-0400,Adele,Madison Square Garden,486.3,9900,434,1109,New York,NY,Ticketmaster,$39.95 ,0,537914,194,20775,6557,131,0.390586661,0.839977,0.935337,10
9478439,2016-09-25T20:00:00-0400,Adele,Madison Square Garden,391.9,9900,455,1235,New York,NY,Ticketmaster,$39.95 ,0,537914,196,20775,6557,131,0.390586661,0.839977,0.935337,10
9478442,2016-09-26T20:00:00-0400,Adele,Madison Square Garden,330.54,50000,614,1640,New York,NY,Ticketmaster,$39.95 ,0,537914,197,20775,6557,131,0.390586661,0.839977,0.935337,10
9478409,2016-08-02T19:30:00-0700,Adele,Oracle Arena,237.31,9900,440,1192,Oakland,CA,Ticketmaster,$39.50 ,0,537914,142,20775,6557,131,0.390586661,0.839977,0.935337,10
9478428,2016-09-09T19:30:00-0400,Adele,Wells Fargo Center Philadelphia,321.1,9900,359,1072,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,180,,,,,,,
9478429,2016-09-10T19:30:00-0400,Adele,Wells Fargo Center Philadelphia,327,9900,263,689,Philadelphia,PA,NoVendorClass,NoPriceClass,NoSoldOutClass,537914,181,,,,,,,
9478404,2016-07-25T19:30:00-0700,Adele,Key Arena,353.35,9900,261,612,Seattle,WA,Ticketmaster,$35.50 ,0,537914,134,20775,6557,131,0.390586661,0.839977,0.935337,10
9478405,2016-07-26T19:30:00-0700,Adele,Key Arena,262.1,10000,295,696,Seattle,WA,Ticketmaster,$35.50 ,0,537914,135,20775,6557,131,0.390586661,0.839977,0.935337,10
9388305,2016-04-02T20:00:00-0400,Afro Latin Jazz Orchestra,Apollo Theater,218.62,183.15,1,4,New York,NY,Ticketmaster,$28.50 ,0,166269,20,119,119,22,0.463816593,0.386502,0.48454,37
9531409,2016-03-15T22:00:00-0400,Afrojack,LIV Nightclub,88.63,299,6,21,Miami Beach,FL,Flavorus,$60.00 ,0,2479031,2,7603,728,4,0.463275365,0.707054,0.786855,12
9534097,2016-03-17T12:00:00-0400,Afrojack Pool Party,SLS Hotel South Beach,183.03,198,4,20,Miami Beach,FL,NoResults,NoResults,NoResults,NoResults,4,,,,,,,
9490692,2016-04-15T20:00:00-0400,Air Supply,Magic City Casino,182.25,550,4,13,Miami,FL,NoVendorClass,NoPriceClass,NoSoldOutClass,112504,33,,,,,,,
9527287,2016-05-21T19:30:00-0500,Alabama,Sam Houston Race Park,74.48,351.33,18,94,Houston,TX,NoVendorClass,NoPriceClass,NoSoldOutClass,244095,69,,,,,,,
9346478,2016-05-12T19:00:00-0500,Alabama,Schermerhorn Symphony Center,297.5,250,1,2,Nashville,TN,Ticketmaster,$59.00 ,0,244095,60,2008,584,17,0.3535562,0.707168,0.600641,47
9346479,2016-05-13T20:00:00-0500,Alabama,Schermerhorn Symphony Center,226.7,265,7,19,Nashville,TN,Ticketmaster,$59.00 ,0,244095,61,2008,584,17,0.3535562,0.707168,0.600641,47
9346480,2016-05-14T20:00:00-0500,Alabama,Schermerhorn Symphony Center,268,250,4,12,Nashville,TN,Ticketmaster,$59.00 ,0,244095,62,2008,584,17,0.3535562,0.707168,0.600641,47
9527667,2016-07-20T19:30:00-0500,Alabama Shakes,Aragon Ballroom,95.72,1111,69,246,Chicago,IL,Ticketmaster,$50.00 ,0,4601908,129,4281,1373,61,0.516602132,0.629098,0.758833,7
9527889,2016-07-19T19:30:00-0500,Alabama Shakes,Civic Opera House Chicago,85.09,9999,284,666,Chicago,IL,Ticketmaster,$42.00 ,0,4601908,128,4281,1373,61,0.516602132,0.629098,0.758833,7
9522534,2016-08-09T19:30:00-0700,Alabama Shakes,Greek Theatre Los Angeles,101.79,840,227,687,Los Angeles,CA,AXS,$39.50 ,1,4601908,149,4281,1373,61,0.516602132,0.629098,0.758833,7
9528214,2016-08-10T19:30:00-0700,Alabama Shakes,Greek Theatre Los Angeles,75.66,9999,351,1056,Los Angeles,CA,AXS,$39.50 ,1,4601908,150,4281,1373,61,0.516602132,0.629098,0.758833,7
9507425,2016-04-21T20:00:00-0500,Alabama Shakes,Ascend Amphitheater,73.3,9999,142,442,Nashville,TN,Live Nation,$36.00 ,0,4601908,39,4281,1373,61,0.516602132,0.629098,0.758833,7
9463495,2016-04-15T20:00:00-0400,Alex G,Bowery Ballroom,53.02,1111,7,27,New York,NY,Ticketmaster,$15.00 ,0,8670199,33,error_5,error_5,error_5,error_5,error_5,error_5,error_5
9503220,2016-05-02T20:00:00-0500,Alice Cooper,Tennessee Performing Arts Center Andrew Jackson Hall ,123.25,225,14,47,Nashville,TN,NoVendorClass,NoPriceClass,NoSoldOutClass,538293,50,,,,,,,
9510621,2016-04-12T19:30:00-0500,All For The Hall,Bridgestone Arena,68.97,9995.73,327,843,Nashville,TN,Ticketmaster,$31.05 ,0,553707,30,3772,3368,35,0.416946961,0.751227,0.779582,26
9528093,2016-05-26T19:30:00-0500,All Funk Radio Show Band,Dallas Arboretum and Botanical Garden,46.46,37.25,1,12,Dallas,TX,NoResults,NoResults,NoResults,NoResults,74,,,,,,,
9516994,2016-03-17T12:00:00-0400,All Gone Pete Tong Pool Party,Surfcomber Hotel Miami Beach,61.5,249,16,39,Miami Beach,FL,NoResults,NoResults,NoResults,NoResults,4,,,,,,,
9527956,2016-04-06T20:00:00-0700,Allan Rayman,The Barboza,83.92,69,1,2,Seattle,WA,NoVendorClass,NoPriceClass,NoSoldOutClass,7141674,24,,,,,,,
9538509,2016-04-02T20:30:00-0700,Allan Rayman,Milk Bar,37.9,35,2,8,San Francisco,CA,Eventbrite,$10.00 ,0,7141674,20,43,0,0,0,0.104369,0,
9539378,2016-05-14T17:30:00-0500,Allen Stone,House of Blues Chicago,81.87,67.26,1,4,Chicago,IL,Live Nation,NoPriceClass,0,1896080,62,,,,,,,
9512685,2016-04-19T21:00:00-0700,AlunaGeorge,El Rey Theatre (LA),54.63,200,39,201,Los Angeles,CA,AXS,$25.00 ,1,3909671,37,4376,695,40,0.494657087,0.577015,0.667064,4
9505721,2016-04-01T19:30:00-0400,America,Symphony Hall Atlanta,92.18,400,10,32,Atlanta,GA,NoVendorClass,NoPriceClass,NoSoldOutClass,321711,19,,,,,,,
9539538,2016-05-14T19:30:00-0500,American Authors,Subterranean,68.97,70.55,8,18,Chicago,IL,Ticketfly,$20.00 ,0,5677419,62,460,96,1,0.487493707,0.540616,0.621606,10
9539543,2016-04-09T20:00:00-0500,American Authors,Trees,66.22,56,3,16,Dallas,TX,Ticketfly,$20.00 ,0,5677419,27,460,96,1,0.487493707,0.540616,0.621606,10
9527806,2016-04-15T20:30:00-0700,American Nightmare,Echoplex,86.98,188,10,45,Los Angeles,CA,Ticketfly,$23.50 ,0,231210,33,623,140,3,0.422381772,0.524158,0.525535,18
9512349,2016-04-22T20:00:00-0400,Amon Amarth,Playstation Theater,57.96,125,15,77,New York,NY,AXS,$30.00 ,0,216859,40,2596,584,43,0.370391035,0.691542,0.609883,24
9510359,2016-05-17T20:00:00-0700,Amon Amarth,The Showbox,54.94,125,14,52,Seattle,WA,Songkick Tickets,$37.00 ,0,216859,65,2596,584,43,0.370391035,0.691542,0.609883,24
9510363,2016-05-20T20:00:00-0700,Amon Amarth,The Warfield,59.14,85,8,49,San Francisco,CA,Songkick Tickets,$34.00 ,0,216859,68,2596,584,43,0.370391035,0.691542,0.609883,24
9511148,2016-04-17T19:30:00-0400,Amon Amarth with Entombed and Exmortus,The Tabernacle Atlanta,54.42,229,16,96,Atlanta,GA,Live Nation,NoPriceClass,0,216859,35,,,,,,,
9511153,2016-04-23T17:30:00-0400,Amon Amarth with Entombed and Exmortus,House of Blues Boston,48.51,129,26,125,Boston,MA,Live Nation,NoPriceClass,0,216859,41,,,,,,,
9511161,2016-05-05T19:30:00-0500,Amon Amarth with Entombed and Exmortus,Riviera Theatre (Chicago),55.6,75,5,14,Chicago,IL,NoResults,NoResults,NoResults,NoResults,53,,,,,,,
9511144,2016-04-12T19:30:00-0500,Amon Amarth with Entombed and Exmortus,House of Blues Dallas,52.76,197,21,103,Dallas,TX,Live Nation,NoPriceClass,0,216859,30,,,,,,,
9511146,2016-04-15T19:00:00-0500,Amon Amarth with Entombed and Exmortus,House of Blues Houston,52.76,149,15,89,Houston,TX,Live Nation,NoPriceClass,0,216859,33,,,,,,,
9511140,2016-05-21T19:00:00-0700,Amon Amarth with Entombed and Exmortus,Wiltern Theatre,54.29,129,22,110,Los Angeles,CA,NoResults,NoResults,NoResults,NoResults,69,,,,,,,
9511139,2016-05-18T20:00:00-0700,Amon Amarth with Entombed and Exmortus,Roseland Theater,59.12,54.72,4,25,Portland,OR,NoResults,NoResults,NoResults,NoResults,66,,,,,,,
9520495,2016-05-07T20:00:00-0500,An Evening with Graham Nash,Granada Theater Dallas,150,401.35,5,10,Dallas,TX,NoResults,NoResults,NoResults,NoResults,55,,,,,,,
9478618,2016-03-21T19:00:00-0700,An Evening with Greg Dulli,The Triple Door,87.44,69.65,1,4,Seattle,WA,NoResults,NoResults,NoResults,NoResults,8,,,,,,,
9508178,2016-03-21T22:00:00-0700,An Evening with Greg Dulli,The Triple Door,52.45,63,2,8,Seattle,WA,NoResults,NoResults,NoResults,NoResults,8,,,,,,,
9502598,2016-07-05T20:00:00-0400,An Evening with Noel Gallagher?s High Flying Birds,Beacon Theatre,70.94,1000,208,449,New York,NY,NoResults,NoResults,NoResults,NoResults,114,,,,,,,
9461067,2016-03-26T20:00:00-0400,an Evening with Percy Hill,Paradise Rock Club,37.66,85,9,30,Boston,MA,NoResults,NoResults,NoResults,NoResults,13,,,,,,,
9522603,2016-04-06T20:00:00-0400,An Intimate Solo Acoustic Performance by Citizen Cope,Wilbur Theatre,68.97,200,17,56,Boston,MA,NoResults,NoResults,NoResults,NoResults,24,,,,,,,
9489235,2016-04-30T20:00:00-0400,Ana Moura,Berklee Performance Center ,88.64,73,2,11,Boston,MA,NoVendorClass,NoPriceClass,NoSoldOutClass,75888,48,,,,,,,
9327664,2016-04-26T20:00:00-0400,Ana Moura,Carnegie Hall - Stern Auditorium,235.35,288,3,8,New York,NY,NoVendorClass,NoPriceClass,NoSoldOutClass,75888,44,,,,,,,
9440713,2016-03-25T20:00:00-0500,Anders Osborne,Gas Monkey Bar N Grill,41.44,33,1,4,Dallas,TX,Ticketfly,$5.00 ,0,464387,12,404,620,13,0.421669996,0.499201,0.505894,27
9440727,2016-04-02T21:00:00-0700,Anders Osborne,Dantes,112.63,91,1,8,Portland,OR,NoResults,NoResults,NoResults,NoResults,20,,,,,,,
